,presWAT,co2sl,temp,presWAT_co2sl
0,-1.6415228017115147,-0.23720681734776497,-1.7773285255724565,0.0
1,-14.463079379849649,-3.809843914371289,-0.04174025286695361,0.0
2,-5.68892877100246,-0.4356456764321104,-2.3869764711629897,0.0
3,-7.2387971573699,-2.958086697143339,-1.7810816987787486,0.0
4,-21.616863239692293,-15.726655662252742,-3.2894688409513084,0.0
5,-26.429430889102772,-14.082671531289213,-7.607603970236104,0.0
6,-24.687660158677918,-13.60593702022468,-1.4901161193847657e-13,0.0
7,-13.365931795936577,-2.131949893517524,-0.0003078508567363024,0.0
8,-20.900001347524004,-12.552876818279382,-16.29006578339835,0.0
9,-20.237034699252927,-0.6011257199646906,-16.067412923053155,0.0
10,-24.149756167420193,-14.356125227069098,-2.5364677085789293,0.0
11,-4.721592197065554,-0.19388795357088745,-7.467894638098504,0.0
12,-18.66507306754171,-16.942359881365313,-7.175263053478286,0.0
13,-20.90331951790754,-12.798118073383051,-16.2297574870076,0.0
14,-21.3211926934968,-16.70543082063947,-5.0815671284434725,0.0
15,-4.174245031591639,-0.916433734024562,-2.495083363645926,0.0
